,日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,策略累積資金(金額),進場口數,做空價平賣權近週報酬(點數)
0,2020-01-02,68.0,102.0,56.0,0.1,1000000.0,4.0,0.0
1,2020-01-03,,52.0,,56.0,999400.0,4.0,-3.0
2,2020-01-06,,5.4,,147.0,981200.0,4.0,-91.0
3,2020-01-07,,0.6,,225.0,965600.0,4.0,-78.0
4,2020-01-08,136.0,0.1,99.0,260.0,958600.0,4.0,-35.0
5,2020-01-09,,247.0,,29.0,972000.0,4.0,67.0
6,2020-01-10,,284.0,,20.0,973800.0,4.0,9.0
7,2020-01-13,,370.0,,1.5,977500.0,4.0,18.5
8,2020-01-14,,431.0,,0.9,977620.0,4.0,0.6
9,2020-01-15,101.0,313.0,86.0,0.1,977780.0,4.0,0.8
10,2020-01-16,,99.0,,84.0,977580.0,4.0,-1.0
11,2020-01-17,,100.0,,66.0,981180.0,4.0,18.0
12,2020-01-20,,120.0,,47.5,984880.0,4.0,18.5
13,2020-01-30,186.0,0.2,95.0,615.0,871380.0,3.0,-567.5
14,2020-01-31,,228.0,,42.5,878805.0,3.0,49.5
15,2020-02-03,,115.0,,76.0,873780.0,3.0,-33.5
16,2020-02-04,,258.0,,7.9,883995.0,3.0,68.1
17,2020-02-05,149.0,260.0,96.0,0.1,885165.0,4.0,7.8
18,2020-02-06,,278.0,,28.5,898065.0,4.0,64.5
19,2020-02-07,,161.0,,56.0,892565.0,4.0,-27.5
20,2020-02-10,,126.0,,44.0,894965.0,4.0,12.0
21,2020-02-11,,187.0,,8.4,902085.0,4.0,35.6
22,2020-02-12,110.0,293.0,90.0,0.2,903725.0,4.0,8.2
23,2020-02-13,,105.0,,79.0,905325.0,4.0,8.0
24,2020-02-14,,108.0,,47.0,911725.0,4.0,32.0
25,2020-02-17,,61.0,,40.5,913025.0,4.0,6.5
26,2020-02-18,,8.2,,117.0,897725.0,4.0,-76.5
27,2020-02-19,105.0,10.0,80.0,0.1,921105.0,4.0,116.9
28,2020-02-20,,69.0,,92.0,918105.0,4.0,-15.0
29,2020-02-21,,41.5,,116.0,913305.0,4.0,-24.0
30,2020-02-24,,5.1,,232.0,890105.0,4.0,-116.0
31,2020-02-25,,1.7,,202.0,896105.0,4.0,30.0
32,2020-02-26,144.0,0.1,111.0,317.0,873105.0,3.0,-115.0
33,2020-02-27,,76.0,,187.0,861255.0,3.0,-79.0
34,2020-03-02,,17.5,,222.0,856005.0,3.0,-35.0
35,2020-03-03,,24.5,,89.0,875955.0,3.0,133.0
36,2020-03-04,138.0,0.1,110.0,21.0,886155.0,4.0,68.0
37,2020-03-05,,202.0,,44.5,898655.0,4.0,62.5
38,2020-03-06,,84.0,,146.0,878355.0,4.0,-101.5
39,2020-03-09,,7.5,,385.0,830555.0,4.0,-239.0
40,2020-03-10,,1.3,,340.0,839555.0,4.0,45.0
41,2020-03-11,200.0,0.2,178.0,443.0,818955.0,3.0,-103.0
42,2020-03-12,,32.5,,468.0,775005.0,3.0,-293.0
43,2020-03-13,,19.5,,785.0,727455.0,3.0,-317.0
44,2020-03-16,,1.5,,1120.0,677205.0,3.0,-335.0
45,2020-03-17,,0.1,,1430.0,630705.0,3.0,-310.0
46,2020-03-18,417.0,0.3,285.0,1490.0,621705.0,2.0,-60.0
47,2020-03-19,,146.0,,565.0,593405.0,2.0,-283.0
48,2020-03-20,,370.0,,160.0,633905.0,2.0,405.0
49,2020-03-23,,141.0,,260.0,623905.0,2.0,-100.0
50,2020-03-24,,427.0,,9.5,648955.0,2.0,250.5
51,2020-03-25,308.0,715.0,194.0,0.2,649885.0,3.0,9.3
52,2020-03-26,,324.0,,154.0,655435.0,3.0,37.0
53,2020-03-27,,251.0,,154.0,655435.0,3.0,0.0
54,2020-03-30,,203.0,,91.0,664885.0,3.0,63.0
55,2020-03-31,,160.0,,34.5,673360.0,3.0,56.5
56,2020-04-01,265.0,134.0,185.0,0.1,678520.0,3.0,34.4
57,2020-04-06,,326.0,,16.0,703420.0,3.0,166.0
58,2020-04-07,,465.0,,1.4,705610.0,3.0,14.6
59,2020-04-08,180.0,565.0,152.0,0.1,705805.0,3.0,1.3
60,2020-04-09,,142.0,,142.0,706855.0,3.0,7.0
61,2020-04-10,,133.0,,99.0,713305.0,3.0,43.0
62,2020-04-13,,82.0,,106.0,712255.0,3.0,-7.0
63,2020-04-14,,250.0,,4.4,727495.0,3.0,101.6
64,2020-04-15,198.0,351.0,110.0,0.1,728140.0,3.0,4.3
65,2020-04-16,,169.0,,101.0,729040.0,3.0,6.0
66,2020-04-17,,330.0,,26.5,740215.0,3.0,74.5
67,2020-04-20,,256.0,,22.0,740890.0,3.0,4.5
68,2020-04-21,,63.0,,84.0,731590.0,3.0,-62.0
69,2020-04-22,218.0,0.2,118.0,15.0,741940.0,3.0,69.0
70,2020-04-23,,238.0,,64.0,749590.0,3.0,51.0
71,2020-04-24,,210.0,,59.0,750340.0,3.0,5.0
72,2020-04-27,,401.0,,5.2,758410.0,3.0,53.8
73,2020-04-28,,426.0,,0.8,759070.0,3.0,4.4
74,2020-04-29,150.0,555.0,103.0,0.1,759175.0,3.0,0.7
75,2020-04-30,,310.0,,27.0,770125.0,3.0,73.0
76,2020-05-04,,84.0,,115.0,756925.0,3.0,-88.0
77,2020-05-05,,104.0,,25.0,770425.0,3.0,90.0
78,2020-05-06,160.0,57.0,111.0,0.1,774160.0,3.0,24.9
79,2020-05-07,,188.0,,63.0,780910.0,3.0,45.0
80,2020-05-08,,213.0,,38.0,784660.0,3.0,25.0
81,2020-05-11,,266.0,,10.5,788785.0,3.0,27.5
82,2020-05-12,,153.0,,7.4,789250.0,3.0,3.1
83,2020-05-13,131.0,174.0,117.0,0.1,790345.0,3.0,7.3
84,2020-05-14,,56.0,,206.0,776545.0,3.0,-92.0
85,2020-05-15,,63.0,,143.0,785995.0,3.0,63.0
86,2020-05-18,,28.0,,165.0,782695.0,3.0,-22.0
87,2020-05-19,,35.0,,66.0,797545.0,3.0,99.0
88,2020-05-20,135.0,0.1,93.0,13.0,805495.0,3.0,53.0
89,2020-05-21,,178.0,,46.5,812020.0,3.0,43.5
90,2020-05-22,,65.0,,125.0,800245.0,3.0,-78.5
91,2020-05-25,,61.0,,52.0,811195.0,3.0,73.0
92,2020-05-26,,164.0,,6.7,817990.0,3.0,45.3
93,2020-05-27,139.0,160.0,86.0,0.1,818980.0,3.0,6.6
94,2020-05-28,,101.0,,108.0,815230.0,3.0,-25.0
95,2020-05-29,,86.0,,91.0,817780.0,3.0,17.0
96,2020-06-01,,151.0,,21.5,828205.0,3.0,69.5
97,2020-06-02,,187.0,,6.5,830455.0,3.0,15.0
98,2020-06-03,141.0,371.0,90.0,0.2,831400.0,3.0,6.3
99,2020-06-04,,182.0,,56.0,836050.0,3.0,31.0
100,2020-06-05,,245.0,,20.0,841450.0,3.0,36.0
101,2020-06-08,,341.0,,4.7,843745.0,3.0,15.3
102,2020-06-09,,380.0,,1.1,844285.0,3.0,3.6
103,2020-06-10,127.0,463.0,123.0,0.1,844435.0,3.0,1.0
104,2020-06-11,,34.0,,243.0,825985.0,3.0,-123.0
105,2020-06-12,,14.0,,323.0,813985.0,3.0,-80.0
106,2020-06-15,,1.8,,475.0,791185.0,3.0,-152.0
107,2020-06-16,,7.7,,183.0,834985.0,3.0,292.0
108,2020-06-17,217.0,0.2,66.0,179.0,835585.0,3.0,4.0
109,2020-06-18,,235.0,,42.0,838735.0,3.0,21.0
110,2020-06-19,,231.0,,27.0,840985.0,3.0,15.0
111,2020-06-22,,230.0,,13.0,843085.0,3.0,14.0
112,2020-06-23,,260.0,,3.2,844555.0,3.0,9.8
113,2020-06-24,191.0,302.0,55.0,0.2,845005.0,3.0,3.0
114,2020-06-29,,65.0,,85.0,840055.0,3.0,-33.0
115,2020-06-30,,102.0,,11.0,851155.0,3.0,74.0
116,2020-07-01,164.0,203.0,60.0,0.2,852775.0,3.0,10.8
117,2020-07-02,,276.0,,23.0,857875.0,3.0,34.0
118,2020-07-03,,398.0,,10.0,859825.0,3.0,13.0
119,2020-07-06,,615.0,,2.1,861010.0,3.0,7.9
120,2020-07-07,,575.0,,0.6,861235.0,3.0,1.5
121,2020-07-08,138.0,655.0,110.0,0.1,861310.0,3.0,0.5
122,2020-07-09,,136.0,,85.0,864610.0,3.0,22.0
123,2020-07-10,,54.0,,159.0,853510.0,3.0,-74.0
124,2020-07-13,,135.0,,29.5,872935.0,3.0,129.5
125,2020-07-14,,109.0,,21.0,874210.0,3.0,8.5
126,2020-07-15,228.0,120.0,68.0,0.1,877345.0,4.0,20.9
127,2020-07-16,,177.0,,65.0,877345.0,4.0,0.0
