gvkey,splticrm,spsdrm,spsticrm,datadate,conm,ticker
008007,A+,,A-1,2002-12-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-01-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-02-28,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-03-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-04-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-05-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-06-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-07-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-08-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2003-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2003-10-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2003-11-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2003-12-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-01-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-02-29,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-03-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-04-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-07-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-08-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-10-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-11-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2004-12-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-01-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-02-28,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-03-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-04-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-07-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-08-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-10-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-11-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2005-12-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-01-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-02-28,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-03-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-04-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2006-07-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2006-08-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2006-09-30,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2006-10-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2006-11-30,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2006-12-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2007-01-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-02-28,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-03-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-04-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-05-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-06-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-07-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-08-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-09-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-10-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-11-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2007-12-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-01-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-02-29,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-03-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-04-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-05-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-06-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-07-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-08-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-09-30,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-10-31,WELLS FARGO & CO,WFC
008007,AA+,,A-1+,2008-11-30,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2008-12-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2009-01-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2009-02-28,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2009-03-31,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2009-04-30,WELLS FARGO & CO,WFC
008007,AA,,A-1+,2009-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-07-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-08-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-10-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-11-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2009-12-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-01-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-02-28,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-03-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-04-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-07-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-08-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-10-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-11-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2010-12-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-01-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-02-28,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-03-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-04-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-05-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-06-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-07-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-08-31,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-09-30,WELLS FARGO & CO,WFC
008007,AA-,,A-1+,2011-10-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2011-11-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2011-12-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-01-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-02-29,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-03-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-04-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-05-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-06-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-07-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-08-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-09-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-10-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-11-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2012-12-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-01-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-02-28,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-03-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-04-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-05-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-06-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-07-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-08-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-09-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-10-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-11-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2013-12-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-01-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-02-28,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-03-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-04-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-05-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-06-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-07-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-08-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-09-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-10-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-11-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2014-12-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-01-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-02-28,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-03-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-04-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-05-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-06-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-07-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-08-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-09-30,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-10-31,WELLS FARGO & CO,WFC
008007,A+,,A-1,2015-11-30,WELLS FARGO & CO,WFC
008007,A,,A-1,2015-12-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-01-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-02-29,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-03-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-04-30,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-05-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-06-30,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-07-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-08-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-09-30,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-10-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-11-30,WELLS FARGO & CO,WFC
008007,A,,A-1,2016-12-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2017-01-31,WELLS FARGO & CO,WFC
008007,A,,A-1,2017-02-28,WELLS FARGO & CO,WFC
008030,AA-,,A-1+,2001-01-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-02-28,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-03-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-04-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-05-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-06-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-07-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-08-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-09-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-10-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-11-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2001-12-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-01-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-02-28,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-03-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-04-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-05-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-06-30,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-07-31,NUCOR CORP,NUE
008030,AA-,,A-1+,2002-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2002-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2002-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2002-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2002-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-02-28,NUCOR CORP,NUE
008030,A+,,A-1,2003-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2003-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2003-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2003-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2003-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2003-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-02-29,NUCOR CORP,NUE
008030,A+,,A-1,2004-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2004-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2004-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2004-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2004-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2004-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-02-28,NUCOR CORP,NUE
008030,A+,,A-1,2005-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2005-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2005-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2005-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2005-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2005-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-02-28,NUCOR CORP,NUE
008030,A+,,A-1,2006-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2006-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2006-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2006-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2006-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2006-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-02-28,NUCOR CORP,NUE
008030,A+,,A-1,2007-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2007-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2007-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2007-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2007-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2007-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-02-29,NUCOR CORP,NUE
008030,A+,,A-1,2008-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2008-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-06-30,NUCOR CORP,NUE
008030,A+,,A-1,2008-07-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-08-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-09-30,NUCOR CORP,NUE
008030,A+,,A-1,2008-10-31,NUCOR CORP,NUE
008030,A+,,A-1,2008-11-30,NUCOR CORP,NUE
008030,A+,,A-1,2008-12-31,NUCOR CORP,NUE
008030,A+,,A-1,2009-01-31,NUCOR CORP,NUE
008030,A+,,A-1,2009-02-28,NUCOR CORP,NUE
008030,A+,,A-1,2009-03-31,NUCOR CORP,NUE
008030,A+,,A-1,2009-04-30,NUCOR CORP,NUE
008030,A+,,A-1,2009-05-31,NUCOR CORP,NUE
008030,A+,,A-1,2009-06-30,NUCOR CORP,NUE
008030,A,,A-1,2009-07-31,NUCOR CORP,NUE
008030,A,,A-1,2009-08-31,NUCOR CORP,NUE
008030,A,,A-1,2009-09-30,NUCOR CORP,NUE
008030,A,,A-1,2009-10-31,NUCOR CORP,NUE
008030,A,,A-1,2009-11-30,NUCOR CORP,NUE
008030,A,,A-1,2009-12-31,NUCOR CORP,NUE
008030,A,,A-1,2010-01-31,NUCOR CORP,NUE
008030,A,,A-1,2010-02-28,NUCOR CORP,NUE
008030,A,,A-1,2010-03-31,NUCOR CORP,NUE
008030,A,,A-1,2010-04-30,NUCOR CORP,NUE
008030,A,,A-1,2010-05-31,NUCOR CORP,NUE
008030,A,,A-1,2010-06-30,NUCOR CORP,NUE
008030,A,,A-1,2010-07-31,NUCOR CORP,NUE
008030,A,,A-1,2010-08-31,NUCOR CORP,NUE
008030,A,,A-1,2010-09-30,NUCOR CORP,NUE
008030,A,,A-1,2010-10-31,NUCOR CORP,NUE
008030,A,,A-1,2010-11-30,NUCOR CORP,NUE
008030,A,,A-1,2010-12-31,NUCOR CORP,NUE
008030,A,,A-1,2011-01-31,NUCOR CORP,NUE
008030,A,,A-1,2011-02-28,NUCOR CORP,NUE
008030,A,,A-1,2011-03-31,NUCOR CORP,NUE
008030,A,,A-1,2011-04-30,NUCOR CORP,NUE
008030,A,,A-1,2011-05-31,NUCOR CORP,NUE
008030,A,,A-1,2011-06-30,NUCOR CORP,NUE
008030,A,,A-1,2011-07-31,NUCOR CORP,NUE
008030,A,,A-1,2011-08-31,NUCOR CORP,NUE
008030,A,,A-1,2011-09-30,NUCOR CORP,NUE
008030,A,,A-1,2011-10-31,NUCOR CORP,NUE
008030,A,,A-1,2011-11-30,NUCOR CORP,NUE
008030,A,,A-1,2011-12-31,NUCOR CORP,NUE
008030,A,,A-1,2012-01-31,NUCOR CORP,NUE
008030,A,,A-1,2012-02-29,NUCOR CORP,NUE
008030,A,,A-1,2012-03-31,NUCOR CORP,NUE
008030,A,,A-1,2012-04-30,NUCOR CORP,NUE
008030,A,,A-1,2012-05-31,NUCOR CORP,NUE
008030,A,,A-1,2012-06-30,NUCOR CORP,NUE
008030,A,,A-1,2012-07-31,NUCOR CORP,NUE
008030,A,,A-1,2012-08-31,NUCOR CORP,NUE
008030,A,,A-1,2012-09-30,NUCOR CORP,NUE
008030,A,,A-1,2012-10-31,NUCOR CORP,NUE
008030,A,,A-1,2012-11-30,NUCOR CORP,NUE
008030,A,,A-1,2012-12-31,NUCOR CORP,NUE
008030,A,,A-1,2013-01-31,NUCOR CORP,NUE
008030,A,,A-1,2013-02-28,NUCOR CORP,NUE
008030,A,,A-1,2013-03-31,NUCOR CORP,NUE
008030,A,,A-1,2013-04-30,NUCOR CORP,NUE
008030,A,,A-1,2013-05-31,NUCOR CORP,NUE
008030,A,,A-1,2013-06-30,NUCOR CORP,NUE
008030,A,,A-1,2013-07-31,NUCOR CORP,NUE
008030,A,,A-1,2013-08-31,NUCOR CORP,NUE
008030,A,,A-1,2013-09-30,NUCOR CORP,NUE
008030,A,,A-1,2013-10-31,NUCOR CORP,NUE
008030,A,,A-1,2013-11-30,NUCOR CORP,NUE
008030,A,,A-1,2013-12-31,NUCOR CORP,NUE
008030,A,,A-1,2014-01-31,NUCOR CORP,NUE
008030,A,,A-1,2014-02-28,NUCOR CORP,NUE
008030,A,,A-1,2014-03-31,NUCOR CORP,NUE
008030,A,,A-1,2014-04-30,NUCOR CORP,NUE
008030,A,,A-1,2014-05-31,NUCOR CORP,NUE
008030,A,,A-1,2014-06-30,NUCOR CORP,NUE
008030,A,,A-1,2014-07-31,NUCOR CORP,NUE
008030,A,,A-1,2014-08-31,NUCOR CORP,NUE
008030,A,,A-1,2014-09-30,NUCOR CORP,NUE
008030,A,,A-1,2014-10-31,NUCOR CORP,NUE
008030,A,,A-1,2014-11-30,NUCOR CORP,NUE
008030,A,,A-1,2014-12-31,NUCOR CORP,NUE
008030,A,,A-1,2015-01-31,NUCOR CORP,NUE
008030,A,,A-1,2015-02-28,NUCOR CORP,NUE
008030,A,,A-1,2015-03-31,NUCOR CORP,NUE
008030,A,,A-1,2015-04-30,NUCOR CORP,NUE
008030,A,,A-1,2015-05-31,NUCOR CORP,NUE
008030,A,,A-1,2015-06-30,NUCOR CORP,NUE
008030,A,,A-1,2015-07-31,NUCOR CORP,NUE
008030,A,,A-1,2015-08-31,NUCOR CORP,NUE
008030,A-,,A-1,2015-09-30,NUCOR CORP,NUE
008030,A-,,A-1,2015-10-31,NUCOR CORP,NUE
008030,A-,,A-1,2015-11-30,NUCOR CORP,NUE
008030,A-,,A-1,2015-12-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-01-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-02-29,NUCOR CORP,NUE
008030,A-,,A-1,2016-03-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-04-30,NUCOR CORP,NUE
008030,A-,,A-1,2016-05-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-06-30,NUCOR CORP,NUE
008030,A-,,A-1,2016-07-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-08-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-09-30,NUCOR CORP,NUE
008030,A-,,A-1,2016-10-31,NUCOR CORP,NUE
008030,A-,,A-1,2016-11-30,NUCOR CORP,NUE
008030,A-,,A-1,2016-12-31,NUCOR CORP,NUE
008030,A-,,A-1,2017-01-31,NUCOR CORP,NUE
008030,A-,,A-1,2017-02-28,NUCOR CORP,NUE
008068,BBB-,,A-3,2001-01-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB-,,A-3,2001-02-28,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB-,,A-3,2001-03-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB-,,A-3,2001-04-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB-,,A-3,2001-05-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB-,,A-3,2001-06-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-07-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-08-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-09-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-10-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-11-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2001-12-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-01-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-02-28,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-03-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-04-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-05-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-06-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-07-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-08-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-09-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-10-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-11-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2002-12-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2003-01-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2003-02-28,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2003-03-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2003-04-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB,,A-2,2003-05-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-06-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-07-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-08-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-09-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-10-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-11-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2003-12-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-01-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-02-29,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-03-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-04-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-05-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-06-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-07-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-08-31,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-09-30,OCCIDENTAL PETROLEUM CORP,OXY
008068,BBB+,,A-2,2004-10-31,OCCIDENTAL PETROLEUM CORP,OXY
